Time,VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_3:DesPer 1:Des Heat Cap [W],VAV_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_3:DesPer 1:Des Sens Cool Cap [W],VAV_3:DesPer 1:Des Tot Cool Cap [W],VAV_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_3:DesPer 2:Des Heat Cap [W],VAV_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_3:DesPer 2:Des Sens Cool Cap [W],VAV_3:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.251155E+00,4.519742E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,2.389586E+00,2.888187E+04,6.113086E+04,2.367447E+00,4.469565E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.740566E+00,4.594225E+04,7.948431E+04,3.382608E+00,4.031394E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,4.203484E+00,5.151559E+04,8.533998E+04
00:20:00,2.251273E+00,4.519691E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,2.365130E+00,2.841258E+04,6.017547E+04,2.367643E+00,4.469480E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.715750E+00,4.550012E+04,7.853578E+04,3.385418E+00,4.030181E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,4.154356E+00,5.078727E+04,8.408489E+04
00:30:00,2.251389E+00,4.519641E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,2.341236E+00,2.794960E+04,5.923729E+04,2.367839E+00,4.469396E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.691310E+00,4.506216E+04,7.761157E+04,3.388129E+00,4.029010E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,4.106192E+00,5.006952E+04,8.286464E+04
00:40:00,2.251504E+00,4.519592E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,2.317867E+00,2.749247E+04,5.831424E+04,2.368034E+00,4.469312E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.667239E+00,4.462829E+04,7.670652E+04,3.390747E+00,4.027880E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,4.058951E+00,4.936187E+04,8.167177E+04
00:50:00,2.251617E+00,4.519543E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,2.294992E+00,2.704082E+04,5.740474E+04,2.368228E+00,4.469228E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.643523E+00,4.419837E+04,7.581701E+04,3.393277E+00,4.026788E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,4.012600E+00,4.866392E+04,8.050134E+04
01:00:00,2.251728E+00,4.519495E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,2.272585E+00,2.659435E+04,5.650752E+04,2.368421E+00,4.469145E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.620150E+00,4.377226E+04,7.494042E+04,3.395722E+00,4.025732E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.967121E+00,4.797552E+04,7.935017E+04
01:10:00,2.251842E+00,4.519446E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,2.255266E+00,2.626384E+04,5.586828E+04,2.368625E+00,4.469057E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.601828E+00,4.345478E+04,7.431262E+04,3.398103E+00,4.024704E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.927214E+00,4.740089E+04,7.845276E+04
01:20:00,2.251955E+00,4.519397E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,2.238658E+00,2.594239E+04,5.524397E+04,2.368827E+00,4.468970E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.584136E+00,4.314479E+04,7.370009E+04,3.400408E+00,4.023709E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.888382E+00,4.683854E+04,7.757586E+04
01:30:00,2.252067E+00,4.519349E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,2.222669E+00,2.562881E+04,5.463251E+04,2.369028E+00,4.468883E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.566975E+00,4.284108E+04,7.309978E+04,3.402640E+00,4.022745E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.850541E+00,4.628750E+04,7.671641E+04
01:40:00,2.252177E+00,4.519301E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,2.207276E+00,2.532288E+04,5.403310E+04,2.369228E+00,4.468796E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.550328E+00,4.254349E+04,7.251032E+04,3.404803E+00,4.021811E+04,1.313795E+00,0.000000E+00,0.000000E+00,1.313795E+00,0.000000E+00,3.813693E+00,4.574784E+04,7.587319E+04
